"Homo sapiens ubiquitin specific peptidase 15 (USP15), transcript variant 4, mRNA.
",15
"Homo sapiens ubiquitin specific peptidase 15 (USP15), transcript variant 10, mRNA.
",15
"PREDICTED: Homo sapiens transcription factor EC (TFEC), transcript variant X7, mRNA
",15
"Homo sapiens zinc finger protein 529 (ZNF529), transcript variant 4, non-coding RNA.
",14
"Homo sapiens cyclin D3 (CCND3), transcript variant 6, mRNA.
",14
"Homo sapiens cyclin D3 (CCND3), transcript variant 2, mRNA.
",14
"Homo sapiens CASP8 and FADD like apoptosis regulator (CFLAR), transcript variant 15, mRNA.
",14
"Homo sapiens solute carrier family 26 member 11 (SLC26A11), transcript variant 2, mRNA.
",14
"Homo sapiens CASP8 and FADD like apoptosis regulator (CFLAR), transcript variant 14, mRNA.
",14
"Homo sapiens CASP8 and FADD like apoptosis regulator (CFLAR), transcript variant 5, mRNA.
",14
"Homo sapiens CASP8 and FADD like apoptosis regulator (CFLAR), transcript variant 6, mRNA.
",14
"Homo sapiens solute carrier family 26 member 11 (SLC26A11), transcript variant 4, mRNA.
",14
"Homo sapiens solute carrier family 26 member 11 (SLC26A11), transcript variant 3, mRNA.
",14
"Homo sapiens CASP8 and FADD like apoptosis regulator (CFLAR), transcript variant 2, mRNA.
",14
"Homo sapiens cyclin dependent kinase 5 regulatory subunit 1 (CDK5R1), mRNA.
",14
"Homo sapiens autoimmune regulator (AIRE), mRNA.
",14
"Homo sapiens PAT1 homolog 1, processing body mRNA decay factor (PATL1), mRNA.
",17
"Homo sapiens IQ motif containing GTPase activating protein 1 (IQGAP1), mRNA.
",14
"Homo sapiens CASP8 and FADD like apoptosis regulator (CFLAR), transcript variant 1, mRNA.
",14
"Homo sapiens prion like protein doppel (PRND), mRNA.
",14
"Homo sapiens solute carrier family 26 member 11 (SLC26A11), transcript variant 1, mRNA.
",14
"PREDICTED: Homo sapiens uncharacterized LOC105379315 (LOC105379315), ncRNA
",14
"PREDICTED: Homo sapiens cyclin D3 (CCND3), transcript variant X1, mRNA
",14
"PREDICTED: Homo sapiens uncharacterized LOC105379011 (LOC105379011), transcript variant X6, ncRNA
",14
"PREDICTED: Homo sapiens uncharacterized LOC112268430 (LOC112268430), ncRNA
",14
"PREDICTED: Homo sapiens uncharacterized LOC112268420 (LOC112268420), ncRNA
",14
"PREDICTED: Homo sapiens transmembrane protein 177 (TMEM177), transcript variant X3, misc_RNA
",14
"PREDICTED: Homo sapiens transmembrane protein 177 (TMEM177), transcript variant X2, misc_RNA
",14
"PREDICTED: Homo sapiens transmembrane protein 177 (TMEM177), transcript variant X1, misc_RNA
",14
"PREDICTED: Homo sapiens cyclin dependent kinase 5 regulatory subunit 1 (CDK5R1), transcript variant X2, mRNA
",14
"PREDICTED: Homo sapiens solute carrier family 26 member 11 (SLC26A11), transcript variant X3, mRNA
",14
"PREDICTED: Homo sapiens uncharacterized LOC105377636 (LOC105377636), ncRNA
",14
"PREDICTED: Homo sapiens uncharacterized LOC105377582 (LOC105377582), transcript variant X6, ncRNA
",14
"PREDICTED: Homo sapiens uncharacterized LOC105377582 (LOC105377582), transcript variant X5, ncRNA
",14
"PREDICTED: Homo sapiens uncharacterized LOC105377582 (LOC105377582), transcript variant X2, ncRNA
",14
"PREDICTED: Homo sapiens uncharacterized LOC107986151 (LOC107986151), ncRNA
",14
"PREDICTED: Homo sapiens cyclin dependent kinase 5 regulatory subunit 1 (CDK5R1), transcript variant X1, mRNA
",14
"PREDICTED: Homo sapiens solute carrier family 26 member 11 (SLC26A11), transcript variant X8, misc_RNA
",14
"PREDICTED: Homo sapiens solute carrier family 26 member 11 (SLC26A11), transcript variant X4, mRNA
",14
"PREDICTED: Homo sapiens solute carrier family 26 member 11 (SLC26A11), transcript variant X2, mRNA
",14
"PREDICTED: Homo sapiens solute carrier family 26 member 11 (SLC26A11), transcript variant X1, mRNA
",14
"PREDICTED: Homo sapiens uncharacterized LOC107987152 (LOC107987152), ncRNA
",14
"PREDICTED: Homo sapiens uncharacterized LOC105378447 (LOC105378447), transcript variant X2, ncRNA
",14
"PREDICTED: Homo sapiens cyclin D3 (CCND3), transcript variant X2, mRNA
",14
"PREDICTED: Homo sapiens uncharacterized LOC105377582 (LOC105377582), transcript variant X8, ncRNA
",14
"PREDICTED: Homo sapiens uncharacterized LOC105377582 (LOC105377582), transcript variant X1, ncRNA
",14
